"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-COMBINED GENDER BY RACE INDICATOR","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - More than 30 days ago but within the past 12 mos","5 - Male, Hispanic","94 - DON T KNOW","0","0.0003","0","0.003","0.55","0.3501","0.067","0.954","0.003","0.0034","0","0.025","0","1","0"
"3 - More than 12 months ago","5 - Male, Hispanic","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","5 - Male, Hispanic","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","5 - Male, Hispanic","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - Male, Hispanic","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - Male, Hispanic","94 - DON T KNOW","0.101","0.0131","0.077","0.13","0.104","0.0136","0.079","0.134","0.967","0.0193","0.897","0.99","44000","155","6000"
"97 - REFUSED","5 - Male, Hispanic","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","5 - Male, Hispanic","94 - DON T KNOW","0.001","0.0005","0","0.003","0.051","0.042","0.009","0.235","0.006","0.0049","0.001","0.031","0","2","0"
"Overall","6 - Female, Hispanic","94 - DON T KNOW","0.179","0.0153","0.15","0.212","0.179","0.0153","0.15","0.212","1","0","N/A","N/A","78000","267","7000"
"1 - Within the past 30 days","6 - Female, Hispanic","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - Female, Hispanic","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - Female, Hispanic","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","6 - Female, Hispanic","94 - DON T KNOW","0.001","0.0008","0","0.005","0.115","0.0838","0.024","0.405","0.006","0.0043","0.001","0.026","0","2","0"
"8 - At some point in the past 12 months LOG ASSN","6 - Female, Hispanic","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","6 - Female, Hispanic","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Female, Hispanic","94 - DON T KNOW","0.001","0.0006","0","0.004","0.5","0.3536","0.055","0.945","0.003","0.0033","0","0.024","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Female, Hispanic","94 - DON T KNOW","0.173","0.0146","0.146","0.204","0.178","0.0152","0.15","0.211","0.967","0.0166","0.912","0.988","75000","261","7000"
"97 - REFUSED","6 - Female, Hispanic","94 - DON T KNOW","0.001","0.0008","0","0.006","0.399","0.2796","0.06","0.874","0.005","0.0046","0.001","0.033","0","1","0"
"98 - MISSING","6 - Female, Hispanic","94 - DON T KNOW","0.003","0.0028","0.001","0.018","0.277","0.1758","0.062","0.691","0.019","0.0154","0.004","0.093","1000","2","1000"
"Overall","7 - Male or Female, Other Races","94 - DON T KNOW","0.306","0.0276","0.253","0.364","0.306","0.0276","0.253","0.364","1","0","N/A","N/A","132000","355","15000"
"1 - Within the past 30 days","7 - Male or Female, Other Races","94 - DON T KNOW","0","0.0002","0","0.001","0.034","0.038","0.003","0.265","0.001","0.0005","0","0.004","0","1","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Male or Female, Other Races","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Male or Female, Other Races","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","7 - Male or Female, Other Races","94 - DON T KNOW","0.002","0.0015","0","0.01","0.193","0.1615","0.029","0.657","0.006","0.0049","0.001","0.031","1000","2","1000"
"8 - At some point in the past 12 months LOG ASSN","7 - Male or Female, Other Races","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","7 - Male or Female, Other Races","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Male or Female, Other Races","94 - DON T KNOW","0.001","0.0006","0","0.005","0.5","0.3536","0.055","0.945","0.002","0.002","0","0.015","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Male or Female, Other Races","94 - DON T KNOW","0.301","0.0282","0.248","0.36","0.31","0.0286","0.256","0.37","0.985","0.0076","0.959","0.995","130000","348","15000"
"97 - REFUSED","7 - Male or Female, Other Races","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","7 - Male or Female, Other Races","94 - DON T KNOW","0.002","0.0015","0.001","0.008","0.173","0.1121","0.042","0.502","0.007","0.0051","0.002","0.03","1000","3","1000"
"Overall","Overall","97 - REFUSED","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","887000","2630","29000"
"1 - Within the past 30 days","Overall","97 - REFUSED","0.001","0.0004","0","0.002","1","0","N/A","N/A","0.001","0.0004","0","0.002","1000","3","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","97 - REFUSED","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","0","2","0"
"3 - More than 12 months ago","Overall","97 - REFUSED","0.005","0.0012","0.003","0.008","1","0","N/A","N/A","0.005","0.0012","0.003","0.008","4000","22","1000"
"8 - At some point in the past 12 months LOG ASSN","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","97 - REFUSED","0","0.0003","0","0.002","1","0","N/A","N/A","0","0.0003","0","0.002","0","2","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","97 - REFUSED","0.976","0.0039","0.967","0.983","1","0","N/A","N/A","0.976","0.0039","0.967","0.983","866000","2551","29000"
"97 - REFUSED","Overall","97 - REFUSED","0.016","0.0037","0.01","0.026","1","0","N/A","N/A","0.016","0.0037","0.01","0.026","14000","42","3000"
"98 - MISSING","Overall","97 - REFUSED","0.001","0.0006","0","0.003","1","0","N/A","N/A","0.001","0.0006","0","0.003","1000","8","1000"
"Overall","1 - Male, White, Not Hisp","97 - REFUSED","0.146","0.0118","0.123","0.171","0.146","0.0118","0.123","0.171","1","0","N/A","N/A","129000","385","10000"
"1 - Within the past 30 days","1 - Male, White, Not Hisp","97 - REFUSED","0","0.0002","0","0.001","0.257","0.2385","0.028","0.809","0.001","0.0013","0","0.009","0","1","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male, White, Not Hisp","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male, White, Not Hisp","97 - REFUSED","0","0.0002","0","0.002","0.705","0.294","0.123","0.976","0.001","0.0014","0","0.01","0","1","0"
"3 - More than 12 months ago","1 - Male, White, Not Hisp","97 - REFUSED","0.002","0.0007","0.001","0.004","0.444","0.1023","0.258","0.647","0.015","0.0048","0.007","0.028","2000","8","1000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male, White, Not Hisp","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male, White, Not Hisp","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male, White, Not Hisp","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male, White, Not Hisp","97 - REFUSED","0.139","0.0113","0.118","0.164","0.143","0.0116","0.121","0.168","0.957","0.0114","0.928","0.975","124000","367","10000"
"97 - REFUSED","1 - Male, White, Not Hisp","97 - REFUSED","0.003","0.0016","0.001","0.009","0.196","0.0789","0.082","0.4","0.022","0.0106","0.008","0.057","3000","7","1000"
"98 - MISSING","1 - Male, White, Not Hisp","97 - REFUSED","0","0.0005","0","0.004","0.407","0.2731","0.066","0.87","0.003","0.0034","0","0.025","0","1","0"
"Overall","2 - Female, White, Not Hisp","97 - REFUSED","0.224","0.0132","0.198","0.252","0.224","0.0132","0.198","0.252","1","0","N/A","N/A","199000","554","13000"
"1 - Within the past 30 days","2 - Female, White, Not Hisp","97 - REFUSED","0","0.0002","0","0.001","0.247","0.2315","0.026","0.8","0.001","0.0008","0","0.006","0","1","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female, White, Not Hisp","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female, White, Not Hisp","97 - REFUSED","0","0.0001","0","0.001","0.295","0.294","0.024","0.877","0","0.0004","0","0.003","0","1","0"
"3 - More than 12 months ago","2 - Female, White, Not Hisp","97 - REFUSED","0.001","0.0004","0","0.002","0.108","0.0781","0.023","0.381","0.002","0.0017","0","0.011","0","2","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Female, White, Not Hisp","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female, White, Not Hisp","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female, White, Not Hisp","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female, White, Not Hisp","97 - REFUSED","0.217","0.0131","0.191","0.244","0.222","0.0135","0.196","0.25","0.968","0.0104","0.939","0.983","192000","540","13000"
"97 - REFUSED","2 - Female, White, Not Hisp","97 - REFUSED","0.006","0.0023","0.003","0.013","0.374","0.1074","0.192","0.6","0.027","0.0101","0.013","0.057","5000","9","2000"
"98 - MISSING","2 - Female, White, Not Hisp","97 - REFUSED","0","0.0003","0","0.002","0.262","0.2254","0.033","0.787","0.001","0.0014","0","0.01","0","1","0"
"Overall","3 - Male, Black, Not Hisp","97 - REFUSED","0.06","0.0069","0.047","0.075","0.06","0.0069","0.047","0.075","1","0","N/A","N/A","53000","150","7000"
"1 - Within the past 30 days","3 - Male, Black, Not Hisp","97 - REFUSED","0","0.0004","0","0.003","0.496","0.3062","0.077","0.92","0.006","0.006","0.001","0.044","0","1","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - Male, Black, Not Hisp","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - Male, Black, Not Hisp","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","3 - Male, Black, Not Hisp","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","3 - Male, Black, Not Hisp","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","3 - Male, Black, Not Hisp","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - Male, Black, Not Hisp","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - Male, Black, Not Hisp","97 - REFUSED","0.058","0.0069","0.045","0.073","0.059","0.007","0.046","0.075","0.964","0.0164","0.912","0.986","51000","142","7000"
"97 - REFUSED","3 - Male, Black, Not Hisp","97 - REFUSED","0.002","0.0009","0.001","0.005","0.101","0.0534","0.033","0.268","0.027","0.015","0.009","0.08","1000","6","1000"
"98 - MISSING","3 - Male, Black, Not Hisp","97 - REFUSED","0","0.0001","0","0.001","0.118","0.1199","0.013","0.575","0.002","0.0024","0","0.018","0","1","0"
"Overall","4 - Female, Black, Not Hisp","97 - REFUSED","0.076","0.0069","0.063","0.091","0.076","0.0069","0.063","0.091","1","0","N/A","N/A","67000","230","6000"
"1 - Within the past 30 days","4 - Female, Black, Not Hisp","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - Female, Black, Not Hisp","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","4 - Female, Black, Not Hisp","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","4 - Female, Black, Not Hisp","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","4 - Female, Black, Not Hisp","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","4 - Female, Black, Not Hisp","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - Female, Black, Not Hisp","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - Female, Black, Not Hisp","97 - REFUSED","0.075","0.0068","0.062","0.09","0.077","0.007","0.064","0.092","0.987","0.007","0.962","0.996","66000","225","6000"
"97 - REFUSED","4 - Female, Black, Not Hisp","97 - REFUSED","0.001","0.0005","0","0.003","0.061","0.0293","0.023","0.153","0.013","0.007","0.004","0.038","1000","5","0"
"98 - MISSING","4 - Female, Black, Not Hisp","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","5 - Male, Hispanic","97 - REFUSED","0.102","0.0072","0.088","0.117","0.102","0.0072","0.088","0.117","1","0","N/A","N/A","90000","270","8000"
"1 - Within the past 30 days","5 - Male, Hispanic","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - Male, Hispanic","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - Male, Hispanic","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","5 - Male, Hispanic","97 - REFUSED","0.001","0.0005","0","0.003","0.163","0.0897","0.05","0.422","0.008","0.0045","0.002","0.025","1000","4","0"
"8 - At some point in the past 12 months LOG ASSN","5 - Male, Hispanic","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","5 - Male, Hispanic","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - Male, Hispanic","97 - REFUSED","0","0.0003","0","0.002","1","0","N/A","N/A","0.004","0.0029","0.001","0.017","0","2","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - Male, Hispanic","97 - REFUSED","0.099","0.0073","0.085","0.115","0.101","0.0074","0.087","0.117","0.973","0.0103","0.943","0.988","88000","259","8000"
"97 - REFUSED","5 - Male, Hispanic","97 - REFUSED","0.002","0.0009","0","0.005","0.095","0.0458","0.035","0.234","0.015","0.0089","0.005","0.048","1000","5","1000"
"98 - MISSING","5 - Male, Hispanic","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","6 - Female, Hispanic","97 - REFUSED","0.172","0.0137","0.146","0.201","0.172","0.0137","0.146","0.201","1","0","N/A","N/A","152000","520","12000"
"1 - Within the past 30 days","6 - Female, Hispanic","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - Female, Hispanic","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - Female, Hispanic","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","6 - Female, Hispanic","97 - REFUSED","0","0.0003","0","0.002","0.064","0.0615","0.008","0.351","0.002","0.0018","0","0.013","0","1","0"
"8 - At some point in the past 12 months LOG ASSN","6 - Female, Hispanic","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","6 - Female, Hispanic","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Female, Hispanic","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Female, Hispanic","97 - REFUSED","0.169","0.0134","0.144","0.198","0.173","0.0139","0.147","0.203","0.986","0.0062","0.966","0.994","150000","512","11000"
"97 - REFUSED","6 - Female, Hispanic","97 - REFUSED","0.002","0.0011","0.001","0.006","0.119","0.0623","0.04","0.308","0.011","0.0059","0.004","0.032","2000","5","1000"
"98 - MISSING","6 - Female, Hispanic","97 - REFUSED","0","0.0001","0","0.001","0.129","0.1148","0.019","0.535","0.001","0.0008","0","0.005","0","2","0"
"Overall","7 - Male or Female, Other Races","97 - REFUSED","0.222","0.0161","0.191","0.256","0.222","0.0161","0.191","0.256","1","0","N/A","N/A","197000","521","18000"
"1 - Within the past 30 days","7 - Male or Female, Other Races","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Male or Female, Other Races","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Male or Female, Other Races","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","7 - Male or Female, Other Races","97 - REFUSED","0.001","0.0004","0","0.002","0.221","0.0722","0.109","0.397","0.005","0.002","0.002","0.011","1000","7","0"
"8 - At some point in the past 12 months LOG ASSN","7 - Male or Female, Other Races","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","7 - Male or Female, Other Races","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Male or Female, Other Races","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Male or Female, Other Races","97 - REFUSED","0.22","0.0163","0.189","0.254","0.225","0.0165","0.193","0.26","0.991","0.0034","0.981","0.996","195000","506","18000"
"97 - REFUSED","7 - Male or Female, Other Races","97 - REFUSED","0.001","0.0005","0","0.003","0.053","0.0303","0.017","0.158","0.004","0.0023","0.001","0.013","1000","5","0"
"98 - MISSING","7 - Male or Female, Other Races","97 - REFUSED","0","0.0001","0","0","0.083","0.0723","0.013","0.379","0","0.0003","0","0.002","0","3","0"
"Overall","Overall","98 - BLANK","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","36000","83","5000"
"1 - Within the past 30 days","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","98 - BLANK","0.002","0.0024","0","0.018","1","0","N/A","N/A","0.002","0.0024","0","0.018","0","1","0"
"8 - At some point in the past 12 months LOG ASSN","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","98 - BLANK","0.691","0.0698","0.537","0.812","1","0","N/A","N/A","0.691","0.0698","0.537","0.812","25000","64","4000"
"97 - REFUSED","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","98 - BLANK","0.306","0.07","0.185","0.461","1","0","N/A","N/A","0.306","0.07","0.185","0.461","11000","18","3000"
"Overall","1 - Male, White, Not Hisp","98 - BLANK","0.32","0.0631","0.208","0.458","0.32","0.0631","0.208","0.458","1","0","N/A","N/A","11000","26","3000"
"1 - Within the past 30 days","1 - Male, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male, White, Not Hisp","98 - BLANK","0.002","0.0024","0","0.018","1","0","N/A","N/A","0.008","0.0077","0.001","0.056","0","1","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Male, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male, White, Not Hisp","98 - BLANK","0.187","0.0515","0.104","0.313","0.271","0.0674","0.158","0.424","0.584","0.1329","0.319","0.808","7000","17","2000"
"97 - REFUSED","1 - Male, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male, White, Not Hisp","98 - BLANK","0.131","0.0536","0.055","0.279","0.427","0.1654","0.161","0.743","0.408","0.1334","0.185","0.676","5000","8","2000"
"Overall","2 - Female, White, Not Hisp","98 - BLANK","0.28","0.0781","0.151","0.458","0.28","0.0781","0.151","0.458","1","0","N/A","N/A","10000","17","3000"
"1 - Within the past 30 days","2 - Female, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Female, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female, White, Not Hisp","98 - BLANK","0.164","0.0547","0.081","0.304","0.237","0.075","0.119","0.417","0.586","0.1814","0.24","0.864","6000","13","2000"
"97 - REFUSED","2 - Female, White, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female, White, Not Hisp","98 - BLANK","0.116","0.0693","0.033","0.338","0.378","0.18","0.116","0.739","0.414","0.1814","0.136","0.76","4000","4","3000"
"Overall","3 - Male, Black, Not Hisp","98 - BLANK","0.05","0.0266","0.017","0.14","0.05","0.0266","0.017","0.14","1","0","N/A","N/A","2000","4","1000"
"1 - Within the past 30 days","3 - Male, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
